Hydrolab MS5 46005,,,,,,,,,,,,,,,
Log File Name : Russian_071816_081316,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 071816,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094845,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 071816,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 081316,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
7/20/2016,17:30:00,,14.17,,11.69,,61.5,,7.51,,0.9,,11.8,,115.2
7/20/2016,17:45:00,,14.26,,11.62,,61.6,,7.5,,0,,11.8,,114.8
7/20/2016,18:00:00,,14.5,,11.35,,61.6,,7.49,,0,,11.9,,112.7
7/20/2016,18:15:00,,14.46,,11.52,,61.7,,7.49,,0.4,,11.8,,114.3
7/20/2016,18:30:00,,14.47,,11.51,,61.7,,7.49,,0.3,,11.8,,114.2
7/20/2016,18:45:00,,14.4,,11.48,,62,,7.47,,0,,11.8,,113.7
7/20/2016,19:00:00,,14.35,,11.5,,61.2,,7.49,,1.3,,11.9,,113.8
7/20/2016,19:15:00,,14.49,,11.49,,60.7,,7.48,,0.1,,11.9,,114
7/20/2016,19:30:00,,14.44,,11.41,,61.6,,7.47,,0.5,,11.8,,113.2
7/20/2016,19:45:00,,14.49,,11.35,,61.6,,7.48,,1.2,,11.8,,112.7
7/20/2016,20:00:00,,14.55,,11.32,,61.3,,7.47,,0.8,,11.9,,112.5
7/20/2016,20:15:00,,14.24,,11.44,,61.7,,7.45,,0,,11.8,,112.9
7/20/2016,20:30:00,,14.25,,11.46,,60.9,,7.46,,0.7,,11.9,,113.2
7/20/2016,20:45:00,,14.32,,11.33,,62.1,,7.45,,0.6,,11.8,,112
7/20/2016,21:00:00,,14.14,,11.35,,61.4,,7.45,,0.1,,11.8,,111.8
7/20/2016,21:15:00,,14.24,,11.33,,61.2,,7.44,,0.7,,11.8,,111.8
7/20/2016,21:30:00,,14.03,,11.39,,61.4,,7.44,,0.4,,11.8,,111.9
7/20/2016,21:45:00,,14,,11.33,,61.4,,7.43,,0,,11.8,,111.2
7/20/2016,22:00:00,,13.75,,11.35,,60.5,,7.42,,0.4,,11.8,,110.8
7/20/2016,22:15:00,,13.7,,11.41,,61,,7.4,,0,,11.8,,111.3
7/20/2016,22:30:00,,13.76,,11.31,,61.2,,7.4,,0.7,,11.8,,110.5
7/20/2016,22:45:00,,13.68,,11.3,,61.3,,7.4,,0.3,,11.8,,110.1
7/20/2016,23:00:00,,13.55,,11.38,,61,,7.39,,0.6,,11.8,,110.6
7/20/2016,23:15:00,,13.65,,11.35,,61.7,,7.38,,1.1,,11.8,,110.6
7/20/2016,23:30:00,,13.6,,11.35,,61.3,,7.38,,0,,11.8,,110.5
7/20/2016,23:45:00,,13.4,,11.37,,61.8,,7.38,,0,,11.8,,110.2
7/21/2016,0:00:00,,13.34,,11.42,,61.7,,7.38,,0,,11.8,,110.5
7/21/2016,0:15:00,,13.34,,11.42,,62.2,,7.38,,0,,11.8,,110.5
7/21/2016,0:30:00,,13.17,,11.48,,62.1,,7.38,,0,,11.8,,110.6
7/21/2016,0:45:00,,13.14,,11.46,,62.6,,7.37,,0,,11.8,,110.4
7/21/2016,1:00:00,,13.21,,11.45,,61.4,,7.38,,0,,11.7,,110.5
7/21/2016,1:15:00,,13.17,,11.43,,62.1,,7.38,,0,,11.8,,110.2
7/21/2016,1:30:00,,13.05,,11.36,,63,,7.38,,0,,11.8,,109.2
7/21/2016,1:45:00,,13.01,,11.4,,63.7,,7.38,,0,,11.7,,109.5
7/21/2016,2:00:00,,13.16,,11.43,,63.2,,7.39,,0,,11.7,,110.2
7/21/2016,2:15:00,,13.15,,11.54,,63.2,,7.39,,0,,11.7,,111.2
