"","(Intercept)","cont_area","elev_mean","prcp","shrub","slope_P","sweM1","tair","wetland","cont_area:elev_mean","model.rmse","df","logLik","AICc","delta","weight"
"324",0.137393420817733,0.00347341733024082,-0.00424237178438672,NA,NA,NA,NA,0.854425973868814,NA,3.76177149578436e-05,1.59702455347707,7,-4973.65405182849,9961.35083543874,175.916749340458,2.6414853377337e-39
"224",-0.116503326077606,0.00443648549077425,-0.00222688198983716,-0.110166678183619,0.0283496017848074,-0.479493731740345,NA,0.857292712471218,-0.000752078564852094,NA,1.594745592874,10,-4970.64654995855,9961.37713353054,175.943047432256,2.6069796811776e-39
"128",-0.136242266608347,0.00439975126349421,-0.00219506500007614,-0.10953068076988,0.0284040076933656,-0.47199912940607,-0.000192728423331198,0.857361554940193,NA,NA,1.59475863578772,10,-4970.68452328258,9961.45308017861,176.018994080334,2.50984002721219e-39
"484",-0.0312675713574661,0.00325980385558701,-0.00406045134621994,NA,NA,NA,-3.73105588963125e-05,0.860344038958475,0.00343894192400697,3.97483440986261e-05,1.59626325197067,9,-4972.43151242375,9962.93175336984,177.497667271557,1.19827427950528e-39
"94",-0.389848785707343,0.00455973219948578,NA,-0.106501681412171,0.0295184309976317,-0.654523944909132,NA,0.865020684847642,NA,NA,1.59632174888044,8,-4973.5456356603,9963.14623315266,177.712147054381,1.07642194806297e-39
"356",0.1277393336312,0.00347365566146291,-0.00426632237360564,NA,NA,NA,8.46865658644081e-05,0.855151567408054,NA,3.76731447606741e-05,1.59701674148838,8,-4973.64878688174,9963.35253559554,177.918449497256,9.70922438806031e-40
"256",-0.103972185205937,0.00443119112963409,-0.00222304858294616,-0.109537301598622,0.0283532461585924,-0.474709518732571,-0.000150805698788289,0.856210436941448,-0.000697417083633492,NA,1.59474250331881,11,-4970.63164359284,9963.36416605462,177.930079956335,9.65292686973834e-40
"126",-0.367853405079999,0.00455549842715451,NA,-0.105597482274772,0.0295167497660522,-0.647725063269833,-0.000212988925487195,0.863320988103701,NA,NA,1.5963121954739,9,-4973.51529514188,9965.0993188061,179.665232707823,4.05392195376751e-40
"222",-0.375983791585553,0.00457320058592572,NA,-0.10641031779582,0.0295032577764204,-0.656013334846159,NA,0.864439714070765,-0.0002877941642842,NA,1.59632123397482,9,-4973.53637172931,9965.14147198096,179.707385882677,3.96937324228782e-40
"92",-0.366905561139514,0.00442043047693916,-0.00207293936446451,NA,0.0286372636576621,-0.493492666077207,NA,0.868475041980804,NA,NA,1.59754555354561,8,-4975.35792739737,9966.7708166268,181.336730528516,1.75757652521022e-40
