"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.spring","df","logLik","AICc","delta","weight"
"99",-0.424548394664782,NA,-0.00855920146423789,NA,NA,NA,0.972609854308726,0.0134940340661789,1.62459863437233,5,-5364.5251360541,10739.0731466793,585.561738301409,3.40804047832276e-128
"43",0.941763108674593,NA,-0.00752505651786703,NA,-0.391511081377739,NA,0.916197945584441,NA,1.62780207965839,5,-5369.70399384005,10749.4308622512,595.91945387331,1.92023943957471e-130
"39",0.955513924040935,NA,-0.0104399454940695,-0.166757374235835,NA,NA,0.91425647304228,NA,1.63316073575499,5,-5378.3443374172,10766.7115494055,613.200141027619,3.39548524871056e-134
"35",0.656111842820656,NA,-0.0104664998141087,NA,NA,NA,0.929285999019603,NA,1.63799022661675,4,-5386.107195718,10780.2296353384,626.718226960553,3.93991438631871e-137
"109",-0.562300010858476,NA,NA,-0.150404127973392,-0.680789924161025,NA,0.98088993142274,0.0158248805840293,1.63972157053909,6,-5388.88456229374,10789.8011612008,636.289752822862,3.28894303941868e-139
"61",1.91655066980324,NA,NA,-0.108121034013323,-0.763842240239635,-0.00610535590676504,0.849184878463324,NA,1.64111155581945,6,-5391.1122108086,10794.2564582305,640.74504985258,3.54487474565615e-140
"57",1.78345029786076,NA,NA,NA,-0.763462604330511,-0.00635659192341707,0.855011623758002,NA,1.64310170914835,5,-5394.29843126382,10798.6197370987,645.108328720858,4.00061654517698e-141
"105",-0.812004680867043,NA,NA,NA,-0.689258245493906,NA,0.993527811563279,0.0157202621496089,1.64362888432764,5,-5395.14178822225,10800.3064510156,646.795042637716,1.72132015277559e-141
"117",-0.422934420866519,NA,NA,-0.11007860994368,NA,-0.00908503080541302,0.933528718216395,0.0261392691249928,1.64449712657558,6,-5396.53018326266,10805.0924031386,651.580994760698,1.57255322848223e-142
"113",-0.556338004135833,NA,NA,NA,NA,-0.00934006260875076,0.939382505407101,0.0261107470970772,1.64655564996042,5,-5399.8190145589,10809.6609036889,656.149495311016,1.60165164741477e-143
"45",0.706058705500882,NA,NA,-0.145764605848059,-0.894573855011056,NA,0.930933807662589,NA,1.65787437830035,5,-5417.82941449445,10845.68170356,692.170295182119,2.41407498524599e-151
