"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse","df","logLik","AICc","delta","weight"
"79",12.557302560604,NA,-0.0112520284042587,-0.482557712468118,-0.573901681455264,NA,NA,-0.00985159966945641,2.55403288262088,6,-16590.5496463983,33193.1112364907,7444.93117883314,0
"15",12.1474687448684,NA,-0.0105327376826741,-0.477610705332958,-0.512526036357393,NA,NA,NA,2.56064587951568,5,-16608.7543181859,33227.517166369,7479.33710871149,0
"70",9.81715690283298,0.00473147140705551,NA,-0.501018018327276,NA,NA,NA,-0.00535332601194287,2.56383080594637,5,-16617.5052156279,33245.0189612529,7496.83890359537,0
"6",9.70214934501854,0.00454759640229471,NA,-0.497367924332266,NA,NA,NA,NA,2.56590422869597,4,-16623.1963076057,33254.3983010679,7506.21824341038,0
"71",12.2572537933916,NA,-0.0150413116015856,-0.478722497061286,NA,NA,NA,-0.00685786867155914,2.57277923278431,5,-16642.0338398347,33294.0762096665,7545.89615200895,0
"92",11.0614698627872,0.00280024158300411,-0.00706248759216644,NA,-0.34750324904936,-0.00976249859705239,NA,-0.00836805421389459,2.57363355361975,7,-16644.3711644864,33302.7582561627,7554.57819850518,0
"7",11.9854660882034,NA,-0.0142322095002124,-0.475458232123822,NA,NA,NA,NA,2.5760694136193,4,-16651.0311430462,33310.0679719489,7561.88791429132,0
"28",10.8340989489092,0.00257179354143117,-0.00690245464039322,NA,-0.264209243788472,-0.0106528871290522,NA,NA,2.57772329054416,6,-16655.5494830801,33323.1109098541,7574.93085219662,0
"84",10.9688228318003,0.00260923793138846,-0.00931880722236214,NA,NA,-0.0110643830620561,NA,-0.00549509743236729,2.57948948834,6,-16660.3714803495,33332.754904393,7584.57484673547,0
"20",10.8220154419847,0.00247852940096839,-0.00881730184492438,NA,NA,-0.0114782178530473,NA,NA,2.58140766797983,5,-16665.6046732914,33341.21787658,7593.03781892248,0
"85",11.2394377852325,NA,NA,-0.505198078328604,NA,-0.0177083637980253,NA,0.0184619229727363,2.59276773965512,5,-16696.5178243915,33403.0441787801,7654.86412112253,0
"90",10.5800534569135,0.00356788401725983,NA,NA,-0.764684054772556,-0.00911409524741293,NA,-0.00734747090974983,2.59556996755876,6,-16704.1224513349,33420.2568463637,7672.07678870621,0
"26",10.3894646527888,0.00335142672701058,NA,NA,-0.683022844001244,-0.00991099327742575,NA,NA,2.59870556776085,5,-16712.6220497693,33435.2526295358,7687.07257187827,0
"76",10.8112097257549,0.00350138145582124,-0.00613828213526023,NA,-0.690602223695444,NA,NA,-0.0164616568801685,2.61667851856732,6,-16761.1439121942,33534.2997680825,7786.11971042494,0
"21",11.7692365477335,NA,NA,-0.522481464096502,NA,-0.0174582615212249,NA,NA,2.62162936034895,4,-16774.4512386539,33556.9081631642,7808.72810550671,0
"77",12.0615000365576,NA,NA,-0.502971490480789,-1.28511382432338,NA,NA,-0.00326648622158647,2.62235677308298,5,-16776.4043276019,33562.817185201,7814.63712754346,0
"13",11.9305241139892,NA,NA,-0.500806000623731,-1.24810765467261,NA,NA,NA,2.62309731077804,4,-16778.392100376,33564.7898866085,7816.60982895099,0
"27",11.8675832564849,NA,-0.011982156889509,NA,-0.131301806894952,-0.0128040852886277,NA,NA,2.62837001957728,5,-16792.5290568056,33595.0666436084,7846.88658595083,0
"91",11.8351283483204,NA,-0.0119200019906348,NA,-0.124032600413692,-0.0128751931769579,NA,0.000850898885552509,2.62832448816019,6,-16792.407101392,33596.8261464781,7848.64608882054,0
"19",11.8424951735506,NA,-0.0128581970807048,NA,NA,-0.0131823749724501,NA,NA,2.6292794932095,4,-16794.9646297433,33597.9349453431,7849.75488768555,0
"83",11.7808438786806,NA,-0.0126385996003472,NA,NA,-0.0132819284364817,NA,0.00168863302141478,2.62908925465254,5,-16794.4552400425,33598.9190100822,7850.73895242469,0
"74",10.4036967178427,0.00413358995853527,NA,NA,-1.03638985249815,NA,NA,-0.0150955413038889,2.63313794183389,5,-16805.2882057495,33620.5849414961,7872.40488383855,0
"12",10.2714056558592,0.00314646719357524,-0.00561114444548313,NA,-0.578407283770574,NA,NA,NA,2.63370914754315,5,-16806.8152249094,33623.6389798159,7875.4589221584,0
"82",9.70033218614948,0.0037615062234153,NA,NA,NA,-0.0130218294519367,NA,0.00407165154185986,2.6408361035546,5,-16825.840107043,33661.6887440832,7913.50868642569,0
"18",9.76454472239695,0.00391906599662485,NA,NA,NA,-0.0127696188328001,NA,NA,2.64197128290828,4,-16828.8656433491,33665.7369725547,7917.55691489715,0
"68",10.5227908226845,0.0032782305775122,-0.0110201664375229,NA,NA,NA,NA,-0.012356642566922,2.64277471982854,5,-16831.0062177341,33672.0209654653,7923.84090780778,0
"10",9.93745878840079,0.00375564911207526,NA,NA,-0.905340874790328,NA,NA,NA,2.64747941741661,4,-16843.5277635397,33695.0612129359,7946.8811552784,0
"4",10.137145280101,0.0030289337306621,-0.00998730387504381,NA,NA,NA,NA,NA,2.6526906252311,4,-16857.371438192,33722.7485622403,7974.56850458282,0
"89",11.2749322241513,NA,NA,NA,-0.864332163499053,-0.0133013631377318,NA,0.00823021807920258,2.70299150269057,5,-16989.6155041209,33989.239538239,8241.05948058144,0
"25",11.57412463174,NA,NA,NA,-0.977078195419763,-0.0126035173820539,NA,NA,2.70732626131142,4,-17000.8964338377,34009.7985535318,8261.61849587426,0
"75",11.7540811532964,NA,-0.012338580672452,NA,-0.535587540278429,NA,NA,-0.00744098067160196,2.7074717100014,5,-17001.2746414026,34012.5578128024,8264.37775514488,0
"11",11.4499874958514,NA,-0.0117854947288375,NA,-0.489410932566924,NA,NA,NA,2.71104175889858,4,-17010.5514100283,34029.108505913,8280.92844825543,0
"67",11.4798759576652,NA,-0.0158687022596395,NA,NA,NA,NA,-0.00466351965176687,2.72289409257853,4,-17041.2623214967,34090.5303288497,8342.35027119222,0
