"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.fall","df","logLik","AICc","delta","weight"
"95",11.6899931202964,NA,-0.00962290979313771,-0.383105121551687,-0.158854726633221,-0.00936833305971585,NA,0.00222266214829823,2.48606378862529,7,-10276.0384454995,20566.1023282009,5613.66406648939,0
"14",10.2430688502251,0.00303584731788153,NA,-0.386560685718054,-0.754599009828279,NA,NA,NA,2.4873837826451,5,-10278.3798771421,20566.7733751696,5614.33511345804,0
"87",11.6212446473825,NA,-0.0105251126616966,-0.382710451925078,NA,-0.00988836393328838,NA,0.00328167915816545,2.48740887528736,6,-10278.4243749343,20568.8678234382,5616.42956172661,0
"23",11.7440125834999,NA,-0.010940735016737,-0.384569933148724,NA,-0.00970971626604717,NA,NA,2.48817785974507,5,-10279.7878283924,20569.5892776702,5617.15101595866,0
"72",10.6043166126201,0.00254594286341599,-0.00851127016418213,-0.385113578622635,NA,NA,NA,-0.00660090420652799,2.49222625313267,6,-10286.9589200392,20585.936913648,5633.4986519364,0
"8",10.3925836947211,0.00241403996021434,-0.00795233373108145,-0.381335261947033,NA,NA,NA,NA,2.4952636141873,5,-10292.3314828413,20594.6765865679,5642.23832485632,0
"86",9.87055220973202,0.00309886126098786,NA,-0.397465894290055,NA,-0.00905410991539477,NA,0.00566770850111327,2.50306852487616,6,-10306.1070736072,20624.2332207839,5671.7949590723,0
"22",9.96497565787082,0.0033196462908567,NA,-0.4017880512525,NA,-0.00867417818163178,NA,NA,2.50540684746719,5,-10310.22582869,20630.4652782653,5678.02701655377,0
"79",11.5941852864455,NA,-0.00947833734861999,-0.383890035469063,-0.449865007365016,NA,NA,-0.00332832312376606,2.5300768604791,6,-10353.4472168884,20718.9135073463,5766.47524563471,0
"15",11.4553397794094,NA,-0.00922393252724709,-0.381972708403676,-0.428988983443736,NA,NA,NA,2.53084684134952,5,-10354.7894167893,20719.592454464,5767.15419275247,0
"93",11.2182041432774,NA,NA,-0.396110170572942,-0.763651800052867,-0.00919514745205047,NA,0.00825422390563329,2.54011233881887,6,-10370.9087162621,20753.8365060937,5801.39824438212,0
"7",11.3224611892157,NA,-0.0121821952458064,-0.382225947070218,NA,NA,NA,NA,2.54191833054064,4,-10374.043774013,20756.0966265552,5803.65836484364,0
"71",11.3606897770382,NA,-0.0122972350813678,-0.382783193346699,NA,NA,NA,-0.000961156266585054,2.5418522252488,5,-10373.9290597712,20757.8717404277,5805.43347871618,0
"29",11.5245216493677,NA,NA,-0.401749630699594,-0.875437217848684,-0.00850142476919967,NA,NA,2.54481630173078,5,-10379.0697693624,20768.1531596101,5815.71489789854,0
"6",9.37380535226794,0.00382734971357057,NA,-0.400287182571911,NA,NA,NA,NA,2.54656820013615,4,-10382.1053382408,20772.2197550109,5819.78149329934,0
"70",9.34794123395588,0.00378466863321649,NA,-0.399343931424289,NA,NA,NA,0.00121836825167726,2.54645831889033,5,-10381.9150049788,20773.843630843,5821.40536913145,0
"28",10.151473270006,0.00213931673539047,-0.00636728915558581,NA,-0.310431674678933,-0.00710333573268846,NA,NA,2.5772019217147,6,-10434.8504664339,20881.7200064372,5929.28174472565,0
