"agency_cd","site_no","Date","max_temp","max_temp_flag","min_temp","min_temp_flag","mean_temp","mean_temp_flag"
"USGS",15258000,2011-05-21,5.5,"A",5,"A",5,"A"
"USGS",15258000,2011-05-22,5.5,"A",5,"A",5,"A"
"USGS",15258000,2011-05-23,6,"A",5,"A",5.5,"A"
"USGS",15258000,2011-05-24,6,"A",5.5,"A",5.5,"A"
"USGS",15258000,2011-05-25,6,"A",5.5,"A",6,"A"
"USGS",15258000,2011-05-26,6.5,"A",5.5,"A",6,"A"
"USGS",15258000,2011-05-27,6,"A",5.5,"A",6,"A"
"USGS",15258000,2011-05-28,6.5,"A",5.5,"A",5.5,"A"
"USGS",15258000,2011-05-29,6.5,"A",5.5,"A",6,"A"
"USGS",15258000,2011-05-30,6.5,"A",5,"A",5.5,"A"
"USGS",15258000,2011-05-31,7.5,"A",6,"A",7,"A"
"USGS",15258000,2011-06-01,7.5,"A",7,"A",7,"A"
"USGS",15258000,2011-06-02,7,"A",6,"A",6,"A"
"USGS",15258000,2011-06-03,7,"A",6.5,"A",7,"A"
"USGS",15258000,2011-06-04,7,"A",6.5,"A",6.5,"A"
"USGS",15258000,2011-06-05,6.5,"A",6.5,"A",6.5,"A"
"USGS",15258000,2011-06-06,7.5,"A",6,"A",6.5,"A"
"USGS",15258000,2011-06-07,7.5,"A",7,"A",7,"A"
"USGS",15258000,2011-06-08,7,"A",6.5,"A",7,"A"
"USGS",15258000,2011-06-09,7,"A",7,"A",7,"A"
"USGS",15258000,2011-06-10,7.5,"A",7,"A",7,"A"
"USGS",15258000,2011-06-11,7,"A",7,"A",7,"A"
"USGS",15258000,2011-06-12,7,"A",7,"A",7,"A"
"USGS",15258000,2011-06-13,7,"A",7,"A",7,"A"
"USGS",15258000,2011-06-14,7,"A",6.5,"A",7,"A"
"USGS",15258000,2011-06-15,7.5,"A",6.5,"A",7,"A"
"USGS",15258000,2011-06-16,7.5,"A",6.5,"A",7,"A"
"USGS",15258000,2011-06-17,9,"A",6.5,"A",8,"A"
"USGS",15258000,2011-06-18,9,"A",7,"A",8,"A"
"USGS",15258000,2011-06-19,9,"A",8.5,"A",9,"A"
"USGS",15258000,2011-06-20,9.5,"A",9,"A",9,"A"
"USGS",15258000,2011-06-21,9,"A",6.5,"A",8,"A"
"USGS",15258000,2011-06-22,7.5,"A",6.5,"A",7,"A"
"USGS",15258000,2011-06-23,7,"A",6.5,"A",6.5,"A"
"USGS",15258000,2011-06-24,9,"A",6.5,"A",7.5,"A"
"USGS",15258000,2011-06-25,11,"A",6.5,"A",10,"A"
"USGS",15258000,2011-06-26,11,"A",10.5,"A",10.5,"A"
"USGS",15258000,2011-06-27,10.5,"A",10.5,"A",10.5,"A"
"USGS",15258000,2011-06-28,10.5,"A",9,"A",10,"A"
"USGS",15258000,2011-06-29,9,"A",8,"A",8,"A"
"USGS",15258000,2011-06-30,10.5,"A",8,"A",9,"A"
"USGS",15258000,2011-07-01,10.5,"A",9,"A",9.5,"A"
"USGS",15258000,2011-07-02,10,"A",9.5,"A",10,"A"
"USGS",15258000,2011-07-03,10,"A",9,"A",9.5,"A"
"USGS",15258000,2011-07-04,10,"A",8.5,"A",9,"A"
"USGS",15258000,2011-07-05,9,"A",7.5,"A",8,"A"
"USGS",15258000,2011-07-06,9.5,"A",7.5,"A",8.5,"A"
"USGS",15258000,2011-07-07,11,"A",7.5,"A",9,"A"
"USGS",15258000,2011-07-08,12.5,"A",11,"A",11.5,"A"
"USGS",15258000,2011-07-09,12,"A",11.5,"A",12,"A"
"USGS",15258000,2011-07-10,12,"A",11.5,"A",11.5,"A"
"USGS",15258000,2011-07-11,12,"A",10.5,"A",11.5,"A"
"USGS",15258000,2011-07-12,12,"A",11.5,"A",12,"A"
"USGS",15258000,2011-07-13,11.5,"A",9.5,"A",10.5,"A"
"USGS",15258000,2011-07-14,9.5,"A",7,"A",8.5,"A"
"USGS",15258000,2011-07-15,8,"A",6.5,"A",7,"A"
"USGS",15258000,2011-07-16,8.5,"A",6.5,"A",7.5,"A"
"USGS",15258000,2011-07-17,11,"A",8,"A",10.5,"A"
"USGS",15258000,2011-07-18,11,"A",9.5,"A",10.5,"A"
"USGS",15258000,2011-07-19,10,"A",8,"A",9,"A"
"USGS",15258000,2011-07-20,9,"A",8,"A",8.5,"A"
"USGS",15258000,2011-07-21,11,"A",8,"A",9,"A"
"USGS",15258000,2011-07-22,11.5,"A",9.5,"A",10.5,"A"
"USGS",15258000,2011-07-23,13,"A",9.5,"A",12,"A"
"USGS",15258000,2011-07-24,12.5,"A",11,"A",12,"A"
"USGS",15258000,2011-07-25,11.5,"A",11,"A",11.5,"A"
"USGS",15258000,2011-07-26,12.5,"A",10.5,"A",11.5,"A"
"USGS",15258000,2011-07-27,12.5,"A",11.5,"A",12,"A"
"USGS",15258000,2011-07-28,12,"A",10.5,"A",11.5,"A"
"USGS",15258000,2011-07-29,11,"A",9,"A",10,"A"
"USGS",15258000,2011-07-30,10,"A",9,"A",10,"A"
"USGS",15258000,2011-07-31,10.5,"A",9.5,"A",10,"A"
"USGS",15258000,2011-08-01,12,"A",10.5,"A",11.5,"A"
"USGS",15258000,2011-08-02,12.5,"A",12,"A",12,"A"
"USGS",15258000,2011-08-03,12.5,"A",11.5,"A",12,"A"
"USGS",15258000,2011-08-04,12.5,"A",12,"A",12.5,"A"
"USGS",15258000,2011-08-05,12.5,"A",11.5,"A",12,"A"
"USGS",15258000,2011-08-06,12.5,"A",11.5,"A",12,"A"
"USGS",15258000,2011-08-07,12.5,"A",12,"A",12,"A"
"USGS",15258000,2011-08-08,12,"A",10.5,"A",11.5,"A"
"USGS",15258000,2011-08-09,12,"A",10,"A",11,"A"
"USGS",15258000,2011-08-10,10.5,"A",9.5,"A",10,"A"
"USGS",15258000,2011-08-11,10.5,"A",8.5,"A",9.5,"A"
"USGS",15258000,2011-08-12,9.5,"A",7.5,"A",9,"A"
"USGS",15258000,2011-08-13,10,"A",8.5,"A",9.5,"A"
"USGS",15258000,2011-08-14,11,"A",10,"A",10.5,"A"
"USGS",15258000,2011-08-15,11.5,"A",10,"A",10.5,"A"
"USGS",15258000,2011-08-16,10.5,"A",9,"A",9.5,"A"
"USGS",15258000,2011-08-17,11,"A",9.5,"A",10.5,"A"
"USGS",15258000,2011-08-18,12,"A",11,"A",11.5,"A"
"USGS",15258000,2011-08-19,12,"A",11.5,"A",12,"A"
"USGS",15258000,2011-08-20,11.5,"A",11.5,"A",11.5,"A"
"USGS",15258000,2011-08-21,11.5,"A",11.5,"A",11.5,"A"
"USGS",15258000,2011-08-22,12,"A",11.5,"A",11.5,"A"
"USGS",15258000,2011-08-23,12,"A",10.5,"A",11,"A"
"USGS",15258000,2011-08-24,11.5,"A",10.5,"A",11,"A"
"USGS",15258000,2011-08-25,11.5,"A",11.5,"A",11.5,"A"
