sampleDate,sampleTime,Temperatue
10/15/2017,8:45:00,37.846
10/15/2017,9:00:00,37.798
10/15/2017,9:15:00,37.751
10/15/2017,9:30:00,37.702
10/15/2017,9:45:00,37.656
10/15/2017,10:00:00,37.56
10/15/2017,10:15:00,37.56
10/15/2017,10:30:00,37.513
10/15/2017,10:45:00,37.513
10/15/2017,11:00:00,37.465
10/15/2017,11:15:00,37.465
10/15/2017,11:30:00,37.465
10/15/2017,11:45:00,37.416
10/15/2017,12:00:00,37.465
10/15/2017,12:15:00,37.465
10/15/2017,12:30:00,37.465
10/15/2017,12:45:00,37.465
10/15/2017,13:00:00,37.465
10/15/2017,13:15:00,37.513
10/15/2017,13:30:00,37.56
10/15/2017,13:45:00,37.56
10/15/2017,14:00:00,37.56
10/15/2017,14:15:00,37.56
10/15/2017,14:30:00,37.56
10/15/2017,14:45:00,37.609
10/15/2017,15:00:00,37.56
10/15/2017,15:15:00,37.56
10/15/2017,15:30:00,37.56
10/15/2017,15:45:00,37.56
10/15/2017,16:00:00,37.56
10/15/2017,16:15:00,37.56
10/15/2017,16:30:00,37.609
10/15/2017,16:45:00,37.656
10/15/2017,17:00:00,37.656
10/15/2017,17:15:00,37.656
10/15/2017,17:30:00,37.656
10/15/2017,17:45:00,37.656
10/15/2017,18:00:00,37.656
10/15/2017,18:15:00,37.656
10/15/2017,18:30:00,37.656
10/15/2017,18:45:00,37.656
10/15/2017,19:00:00,37.609
10/15/2017,19:15:00,37.56
10/15/2017,19:30:00,37.56
10/15/2017,19:45:00,37.56
10/15/2017,20:00:00,37.513
10/15/2017,20:15:00,37.513
10/15/2017,20:30:00,37.465
10/15/2017,20:45:00,37.465
10/15/2017,21:00:00,37.416
10/15/2017,21:15:00,37.416
10/15/2017,21:30:00,37.369
10/15/2017,21:45:00,37.369
10/15/2017,22:00:00,37.369
10/15/2017,22:15:00,37.369
10/15/2017,22:30:00,37.369
10/15/2017,22:45:00,37.369
10/15/2017,23:00:00,37.321
10/15/2017,23:15:00,37.321
10/15/2017,23:30:00,37.321
10/15/2017,23:45:00,37.321
10/16/2017,0:00:00,37.274
10/16/2017,0:15:00,37.274
10/16/2017,0:30:00,37.225
10/16/2017,0:45:00,37.225
10/16/2017,1:00:00,37.179
10/16/2017,1:15:00,37.13
10/16/2017,1:30:00,37.081
10/16/2017,1:45:00,37.081
10/16/2017,2:00:00,37.035
10/16/2017,2:15:00,36.986
10/16/2017,2:30:00,36.986
10/16/2017,2:45:00,36.939
10/16/2017,3:00:00,36.939
10/16/2017,3:15:00,36.891
10/16/2017,3:30:00,36.891
10/16/2017,3:45:00,36.842
10/16/2017,4:00:00,36.842
10/16/2017,4:15:00,36.842
10/16/2017,4:30:00,36.795
10/16/2017,4:45:00,36.795
10/16/2017,5:00:00,36.795
10/16/2017,5:15:00,36.795
10/16/2017,5:30:00,36.747
10/16/2017,5:45:00,36.698
10/16/2017,6:00:00,36.698
10/16/2017,6:15:00,36.651
10/16/2017,6:30:00,36.603
10/16/2017,6:45:00,36.554
10/16/2017,7:00:00,36.505
10/16/2017,7:15:00,36.459
10/16/2017,7:30:00,36.41
10/16/2017,7:45:00,36.41
10/16/2017,8:00:00,36.361
10/16/2017,8:15:00,36.313
10/16/2017,8:30:00,36.313
10/16/2017,8:45:00,36.313
10/16/2017,9:00:00,36.266
10/16/2017,9:15:00,36.266
10/16/2017,9:30:00,36.266
10/16/2017,9:45:00,36.217
10/16/2017,10:00:00,36.217
10/16/2017,10:15:00,36.266
10/16/2017,10:30:00,36.266
10/16/2017,10:45:00,36.266
10/16/2017,11:00:00,36.266
10/16/2017,11:15:00,36.266
10/16/2017,11:30:00,36.266
10/16/2017,11:45:00,36.266
10/16/2017,12:00:00,36.266
10/16/2017,12:15:00,36.266
10/16/2017,12:30:00,36.266
10/16/2017,12:45:00,36.266
10/16/2017,13:00:00,36.313
10/16/2017,13:15:00,36.313
10/16/2017,13:30:00,36.313
10/16/2017,13:45:00,36.361
10/16/2017,14:00:00,36.361
10/16/2017,14:15:00,36.41
10/16/2017,14:30:00,36.41
10/16/2017,14:45:00,36.459
10/16/2017,15:00:00,36.505
10/16/2017,15:15:00,36.505
10/16/2017,15:30:00,36.554
10/16/2017,15:45:00,36.554
10/16/2017,16:00:00,36.603
10/16/2017,16:15:00,36.603
10/16/2017,16:30:00,36.603
10/16/2017,16:45:00,36.603
10/16/2017,17:00:00,36.603
10/16/2017,17:15:00,36.603
10/16/2017,17:30:00,36.603
10/16/2017,17:45:00,36.603
10/16/2017,18:00:00,36.603
10/16/2017,18:15:00,36.554
10/16/2017,18:30:00,36.554
10/16/2017,18:45:00,36.505
10/16/2017,19:00:00,36.505
10/16/2017,19:15:00,36.459
10/16/2017,19:30:00,36.459
10/16/2017,19:45:00,36.41
10/16/2017,20:00:00,36.41
10/16/2017,20:15:00,36.41
10/16/2017,20:30:00,36.361
10/16/2017,20:45:00,36.361
10/16/2017,21:00:00,36.313
10/16/2017,21:15:00,36.313
10/16/2017,21:30:00,36.313
10/16/2017,21:45:00,36.266
10/16/2017,22:00:00,36.217
10/16/2017,22:15:00,36.217
10/16/2017,22:30:00,36.217
10/16/2017,22:45:00,36.169
10/16/2017,23:00:00,36.12
10/16/2017,23:15:00,36.12
10/16/2017,23:30:00,36.072
10/16/2017,23:45:00,36.025
10/17/2017,0:00:00,36.025
10/17/2017,0:15:00,35.976
10/17/2017,0:30:00,35.928
10/17/2017,0:45:00,35.928
10/17/2017,1:00:00,35.879
10/17/2017,1:15:00,35.83
10/17/2017,1:30:00,35.782
10/17/2017,1:45:00,35.733
10/17/2017,2:00:00,35.685
10/17/2017,2:15:00,35.638
10/17/2017,2:30:00,35.589
10/17/2017,2:45:00,35.541
10/17/2017,3:00:00,35.443
10/17/2017,3:15:00,35.443
10/17/2017,3:30:00,35.346
10/17/2017,3:45:00,35.298
10/17/2017,4:00:00,35.249
10/17/2017,4:15:00,35.2
10/17/2017,4:30:00,35.152
10/17/2017,4:45:00,35.103
10/17/2017,5:00:00,35.055
10/17/2017,5:15:00,34.957
10/17/2017,5:30:00,34.957
10/17/2017,5:45:00,34.858
10/17/2017,6:00:00,34.858
10/17/2017,6:15:00,34.761
10/17/2017,6:30:00,34.713
10/17/2017,6:45:00,34.664
