HYDROLAB MS5 64823,,,,,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_062016_071816,,,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094853,,,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 071816,,,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,IBatt,,SpCond,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,Volts,,æS/cm,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 192946,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 192952,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 192952,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 192957,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 192957,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 194437,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 194437,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 194442,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 194442,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 194447,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 194447,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 194452,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 194452,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 194457,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 194457,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 195937,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 195937,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 195942,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 195942,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 195947,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 195947,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 195952,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 195952,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 195957,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 195957,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 201433,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 201433,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 201438,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 201438,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 201443,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 201443,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 201448,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 201448,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 201453,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 201453,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 201458,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 201458,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 202933,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 202933,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 202938,,,,,,,,,,,,,,,,,,,
