FID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,loc_id,accs_sitei,contact_si,descriptio,latitude,longitude,datum,contact_id,gridcode,rca_id,elev_mean,elev_min,elev_max,OBJECTID_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng,Shape_Le_1,Shape_Area
41,1,42,1,42,43,KBERR6,STAR,STAR,59.8527,-151.79352, ,2,283,283,43.63093481,3.146442652,70.82685852,42,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
42,1,43,1,43,44,KBERR15,STAR 171 Lower,STAR 171 Lower 2013,59.844918,-151.78505, ,2,351,351,57.98055501,30.51890755,71.71084595,43,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
43,1,44,1,44,45,KBERR16,STAR 171 Upper,STAR 171 Upper 2013,59.839438,-151.781433, ,2,351,351,57.98055501,30.51890755,71.71084595,44,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
44,1,45,1,45,46,KBERR43,STAR-171-M,STAR-171-M,59.8406447,-151.7829479, ,2,351,351,57.98055501,30.51890755,71.71084595,45,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
45,1,46,1,46,47,KBERR44,STAR-171-U,STAR-171-U,59.83263004,-151.7610383, ,2,428,428,63.73679894,55.58110046,80.40355682,46,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
46,1,47,1,47,48,KBERR54,STAR-69-L,STAR-69-L,59.86957967,-151.7294595, ,2,255,255,96.63614368,60.52362061,140.2400055,47,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
47,1,48,1,48,49,KBERR55,STAR-69-M,STAR-69-M,59.87894801,-151.6934264, ,2,255,255,96.63614368,60.52362061,140.2400055,48,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
48,1,49,1,49,50,KBERR56,STAR-69-U,STAR-69-U,59.88615642,-151.6758017, ,2,271,271,142.4847623,106.7200012,160.8099976,49,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
49,1,50,1,50,51,KBERR10,STAR-A,STAR-A,59.91127,-151.498532, ,2,208,208,272.7954121,236.8899994,303.1400146,50,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
50,1,51,1,51,52,KBERR11,STAR-W,STAR-W,59.928383,-151.627714, ,2,196,196,124.8158289,110.75,141.5599976,51,{131B3996-60DB-41FF-AC3E-1E15C6DFE154},{CD36BD9A-DA32-4B42-8CA8-3DDD718252EF}, , , ,,0,33827,136.893232,AK,1.90203E+11,Stariski Creek,S,NM,1.90203E+11,0,0,1.509366028,110611.0387,136893313.7
